,open,high,low,close,volume,rsi,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,atr,adx,obv,vwap,sma_20,sma_50,std_dev,volume_avg,volume_trend,price_change_pct,roc,macd_histogram,ema_12_prev,ema_26_prev,macd_histogram_prev,plus_di,minus_di
2024-06-03 01:00:00,47246.480966357914,47774.26401152811,47160.41016694612,47450.13255046503,1640.9642860088454,39.276770395453156,47577.46908751797,48272.99939558154,-691.279228511703,-686.4886063011205,-4.790622210582455,49898.6224679589,48068.775055439895,46238.92764292089,7.613455555747191,523.7496220797591,26.562865899302995,-8223.832915013707,49368.461060134716,48068.77505543991,49440.44638669756,938.6919164315983,1699.1243816197195,0.7107299659637079,0.43104074619255695,1.567198311572171,-4.790622210582455,47600.62118516396,48338.82874319086,-47.892604171682024,0.0,0.0
2024-06-03 02:00:00,47450.13255046503,47205.77964353766,46923.61876550252,46951.907538222316,2348.9886490182034,34.88156537080081,47481.22884916479,48175.140739480856,-690.3148230029474,-687.2538496414859,-3.0609733614614925,49792.014289095045,47962.33706232319,46132.659835551334,7.629641668187842,523.9470622856699,26.412880112623718,-10572.82156403191,49304.942448405855,47962.3370623232,49379.484537462,938.6046129856927,1700.0986985053592,45.49546604748904,-1.049997092658983,-0.08715694682950303,-3.0609733614614925,47577.46908751797,48272.99939558154,-4.790622210582455,0.0,0.0
2024-06-03 03:00:00,46951.907538222316,47128.92287765355,46723.556389093734,47049.91495144478,1361.159595840944,36.389526275272836,47414.87286490017,48091.790681107814,-673.8741438657744,-684.5779084863436,10.703764620569245,49721.843072202326,47881.29884416416,46040.75461612599,7.687946118706831,515.4770213052519,26.527882235697827,-9211.661968190967,49268.765290413896,47881.298844164165,49313.59985488866,944.1792670110768,1690.6678072737827,-15.277507026989046,0.20874000303965357,-0.8438457924524023,10.703764620569245,47481.22884916479,48175.140739480856,-3.0609733614614925,0.0,0.0
2024-06-03 04:00:00,47049.91495144478,47394.33950907568,47022.51296002936,47272.28326130169,1213.3490547084389,39.79603775327703,47392.9360028081,48031.08642778884,-635.5750099222423,-674.7773287735233,39.20231885128101,49543.88898964548,47786.0778201169,46028.266650588324,7.3570012426865325,505.21627328675703,26.05779800681351,-7998.3129134825285,49241.0166598644,47786.0778201169,49249.243669898344,901.7381034949407,1652.1360787196736,-12.55641566678184,0.4726221292565391,-0.18770538622024935,39.20231885128101,47414.87286490017,48091.790681107814,10.703764620569245,0.0,0.0
2024-06-03 05:00:00,47272.28326130169,47840.47062654925,47203.10326824706,47544.49397457961,1414.9186939292128,43.76609245684618,47416.25261384987,47995.04254236593,-576.6107311588712,-655.144009250593,78.53327809172174,49243.174511319914,47685.047493316684,46126.920475313455,6.5350758777019555,514.655636502145,24.74320183798334,-6583.394219553315,49214.27806889795,47685.04749331669,49194.324421754005,799.3022951352028,1646.7185565237269,14.368089043798381,0.5758357635768263,0.6307623385409356,78.53327809172174,47392.9360028081,48031.08642778884,39.20231885128101,0.0,0.0
2024-06-03 06:00:00,47544.49397457961,46917.19428288248,46617.24921761119,46827.56223580318,2897.864610731931,36.87001664983515,47325.68486338115,47908.56251965758,-581.033720051113,-640.321951410697,59.28823135958396,48994.79714011176,47565.223303690975,46135.64946727019,6.011004415109532,544.1262879640215,24.357530876200567,-9481.258830285245,49139.037884589,47565.22330369098,49117.98364108111,733.3559044373438,1690.5993336122767,76.59522729651354,-1.5079174870590517,-1.3120517924785968,59.28823135958396,47416.25261384987,47995.04254236593,78.53327809172174,0.0,0.0
2024-06-03 07:00:00,46827.56223580318,46698.2626099126,46519.083248013456,46557.174855144964,1831.1004073974243,34.65237891442084,47207.45255442174,47808.459729693684,-599.4469215428326,-632.1469454371241,32.700023894291576,48829.78556744775,47453.35128059787,46076.91699374799,5.801210029238369,527.294337951572,24.128073832989305,-11312.35923768267,49090.091741664495,47453.351280597875,49046.87511587027,706.0958906879201,1694.608115500126,-22.047285832447027,-0.5774107550093444,-0.84071703105143,32.700023894291576,47325.68486338115,47908.56251965758,59.28823135958396,0.0,0.0
2024-06-03 08:00:00,46557.174855144964,46357.609059208924,46003.588571084336,46245.07713874263,1644.5568161121657,32.241779077770474,47059.39479816341,47692.65361184546,-631.9385989881848,-632.1052761473363,0.16667715915150438,48609.740465173345,47318.292223009106,46026.84398084487,5.458558124108529,529.1723341022188,24.54661592113313,-12956.916053794836,49041.1022707423,47318.29222300911,48976.42171758183,662.4989696497762,1709.0849820005292,20.820278616640465,-0.6703536401712062,-1.7106041818199635,0.16667715915150438,47207.45255442174,47808.459729693684,32.700023894291576,0.0,0.0
2024-06-03 09:00:00,46245.07713874263,46514.35654010985,45502.20979761621,46295.932843700866,1083.2901441411216,33.05896014050776,46941.93911286148,47589.19281420512,-646.1365966026715,-634.9115402384034,-11.225056364268085,48417.05339753497,47201.521487579674,45985.98957762438,5.150392918055161,563.6705061301775,25.460904915211074,-11873.625909653714,49008.64813133261,47201.52148757968,48914.3373117351,623.5547129417956,1671.7819301236007,-10.719002092812424,0.10996998622287979,-2.06537605176369,-11.225056364268085,47059.39479816341,47692.65361184546,0.16667715915150438,0.0,0.0
2024-06-03 10:00:00,46295.932843700866,46652.49330517669,46461.506052929,46488.27221362769,1230.7778035527497,36.19322908496447,46872.144205287055,47507.64314008827,-634.5536923280961,-634.839970656342,0.28627832824588495,48135.83177730458,47091.64313861886,46047.45449993315,4.434708874404928,548.8769315120096,26.01318255329256,-10642.848106100964,48977.96571776618,47091.64313861886,48847.226898532565,535.6574693938657,1668.3670362578189,-13.014238285671809,0.41545630061323724,-2.2215438059276393,0.28627832824588495,46941.93911286148,47589.19281420512,-11.225056364268085,0.0,0.0
